region,periodo,tecnologia,categoria_energia,generacion_mwh,emisiones_tco2,intensidad_tco2_mwh,intensidad_kgco2_mwh,log_generacion_mwh,log_emisiones_tco2,nivel_huella
CT,2024,petroleum,Fosil,101004.0,162262.0,1.6064908320462556,1606.4908320462557,11.522925299548563,11.996973754623204,Alta
MI,2024,other,Otra,187216.0,299722.0,1.6009422271600717,1600.9422271600718,12.140023650868283,12.610613993770206,Alta
ME,2024,other,Otra,560439.0,895348.0,1.5975833230735192,1597.5833230735193,13.236477468485168,13.704968865382616,Alta
VA,2024,petroleum,Fosil,409370.0,642460.0,1.569387107018101,1569.387107018101,12.922377114331551,13.373061393520064,Alta
ME,2024,petroleum,Fosil,119580.0,187518.0,1.5681384846964375,1568.1384846964374,11.69174924500237,12.14163545259206,Alta
WA,2024,petroleum,Fosil,86880.0,134730.0,1.5507596685082874,1550.7596685082874,11.372294645230435,11.81103547697426,Alta
DE,2024,petroleum,Fosil,36911.0,56454.0,1.5294627617783316,1529.4627617783317,10.516291980413534,10.941199139614623,Alta
MN,2024,other,Otra,621422.0,938290.0,1.50990792086537,1509.90792086537,13.339767288452121,13.751815414417155,Alta
MS,2024,petroleum,Fosil,17122.0,25196.0,1.471557061090994,1471.557061090994,9.748177867988971,10.134480218793737,Alta
MI,2024,petroleum,Fosil,2987210.0,4383516.0,1.467428135283425,1467.428135283425,14.909850734140962,15.293361928182794,Alta
SD,2024,petroleum,Fosil,31922.0,46354.0,1.4521019986216404,1452.1019986216404,10.371082032109841,10.744084440041084,Alta
GA,2024,other,Otra,172384.0,241963.0,1.4036279469092259,1403.6279469092258,12.057485626465848,12.396544233742329,Alta
MN,2024,petroleum,Fosil,42673.0,59730.0,1.3997141049375483,1399.7141049375484,10.66134511446483,10.997606427591899,Alta
WI,2024,petroleum,Fosil,135491.0,183094.0,1.3513369891727125,1351.3369891727125,11.816667876968522,12.117760422807496,Alta
NH,2024,petroleum,Fosil,93180.0,123182.0,1.3219789654432281,1321.9789654432282,11.442299117229922,11.721426333547486,Alta
TX,2024,petroleum,Fosil,459013.0,583524.0,1.2712581125153317,1271.2581125153317,13.036835989666859,13.276842574692388,Alta
MO,2024,petroleum,Fosil,295042.0,369462.0,1.2522352749777999,1252.2352749778,12.59487638741147,12.81980587903852,Alta
VA,2024,coal,Fosil,3944219.0,4777156.0,1.2111791966926786,1211.1791966926785,15.187761774082027,15.379356157647395,Alta
IA,2024,coal,Fosil,28928837.0,35004208.0,1.2100108967394714,1210.0108967394713,17.180349510227913,17.370978869366233,Alta
RI,2024,petroleum,Fosil,16702.0,19764.0,1.1833313375643635,1183.3313375643636,9.723343622989947,9.891667975730785,Alta
PA,2024,petroleum,Fosil,173542.0,204818.0,1.1802215025757454,1180.2215025757455,12.06418068627885,12.2298819412818,Alta
WA,2024,coal,Fosil,5693188.0,6690890.0,1.175244871590399,1175.2448715903988,15.554781106047182,15.71625760709273,Alta
WY,2024,coal,Fosil,48763236.0,56830280.0,1.1654329093335807,1165.4329093335807,17.702487246756146,17.85557985783261,Alta
LA,2024,coal,Fosil,7399616.0,8609488.0,1.1635047007844732,1163.5047007844732,15.816938800078214,15.968375525049161,Alta
MS,2024,coal,Fosil,6668250.0,7739738.0,1.1606850373036404,1160.6850373036405,15.712868164615868,15.861878524067114,Alta
NV,2024,coal,Fosil,4646500.0,5390774.0,1.1601794899386635,1160.1794899386634,15.351625021195261,15.50019971733578,Alta
OK,2024,coal,Fosil,12270816.0,14078330.0,1.1473018583279222,1147.3018583279222,16.322734399637476,16.460147364736294,Alta
NE,2024,petroleum,Fosil,47819.0,54294.0,1.1354064284071186,1135.4064284071185,10.775199241012317,10.902187420651002,Alta
FL,2024,other,Otra,4238494.0,4794600.0,1.131203677532633,1131.203677532633,15.259718811367286,15.38300105115856,Alta
SD,2024,coal,Fosil,1562679.0,1760621.0,1.126668368871662,1126.668368871662,14.261912853957684,14.38117771367096,Alta
ND,2024,coal,Fosil,46366174.0,51976208.0,1.120994110922329,1120.994110922329,17.65208076428724,17.766296652621076,Alta
NM,2024,petroleum,Fosil,752.0,842.0,1.1196808510638299,1119.6808510638298,6.6240652277998935,6.736966958001855,Alta
FL,2024,petroleum,Fosil,1628320.0,1819620.0,1.117483050014739,1117.483050014739,14.30305998055547,14.41413879560941,Alta
LA,2024,petroleum,Fosil,46564.0,52028.0,1.1173438708014776,1117.3438708014776,10.748604464955758,10.859556534418696,Alta
KS,2024,coal,Fosil,13079183.0,14582456.0,1.1149363075660002,1114.936307566,16.38653251672618,16.495329788865654,Alta
MD,2024,coal,Fosil,4931444.0,5490800.0,1.1134264122232758,1113.4264122232757,15.411142606520725,15.518584704482448,Alta
IL,2024,coal,Fosil,53930913.0,59837948.0,1.109529668077379,1109.529668077379,17.803214415065217,17.907150616310485,Alta
IL,2024,petroleum,Fosil,41494.0,45938.0,1.107099821660963,1107.099821660963,10.633328217032549,10.735069708483318,Alta
MN,2024,coal,Fosil,22860972.0,25249104.0,1.1044632747898908,1104.4632747898909,16.944941778854712,17.044301267512882,Alta
TX,2024,coal,Fosil,131090488.0,144607726.0,1.1031137972421003,1103.1137972421004,18.691398398428685,18.789535303329004,Alta
KS,2024,petroleum,Fosil,97468.0,106549.0,1.0931690400952108,1093.1690400952107,11.48728965771158,11.576369637526764,Alta
PA,2024,coal,Fosil,26083142.0,28385428.0,1.0882672033913705,1088.2672033913705,17.0767998015652,17.1613865080891,Alta
TN,2024,coal,Fosil,34869736.0,37854126.0,1.085586825205674,1085.586825205674,17.367129876323418,17.449250567570882,Alta
MT,2024,coal,Fosil,19570972.0,21202736.0,1.0833767479714345,1083.3767479714345,16.7895580570939,16.869640835082652,Alta
NH,2024,coal,Fosil,224470.0,242663.0,1.0810486924756093,1081.0486924756094,12.321501801873968,12.399433049439345,Alta
US-TOTAL,2024,petroleum,Fosil,30168905.0,32548926.0,1.0788898702157073,1078.8898702157073,17.222322349291183,17.298254961405767,Alta
AZ,2024,coal,Fosil,9814665.0,10531319.0,1.0730186919268259,1073.0186919268258,16.09938835556707,16.16986423237909,Alta
NE,2024,coal,Fosil,32704426.0,34695246.0,1.0608731062884271,1060.8731062884272,17.30302100896713,17.362113261471883,Alta
FL,2024,coal,Fosil,15692632.0,16540650.0,1.0540392459340153,1054.0392459340153,16.568701924524238,16.62133160591465,Alta
US-TOTAL,2024,coal,Fosil,1304311841.0,1372708744.0,1.0524390723521768,1052.4390723521767,20.988941414498868,21.040051810857967,Alta
IN,2024,coal,Fosil,81052120.0,84677290.0,1.0447264056757553,1044.7264056757554,18.21060297483502,18.25435801269418,Alta
CO,2024,coal,Fosil,16477718.0,17191413.0,1.0433127329888763,1043.3127329888762,16.61751966267185,16.659920631102338,Alta
AR,2024,coal,Fosil,31320710.0,32349850.0,1.0328581312492597,1032.8581312492597,17.259790129978633,17.292119973027315,Alta
MI,2024,coal,Fosil,51476180.0,52692938.0,1.0236373017578226,1023.6373017578227,17.756629753791234,17.77999201971509,Alta
SC,2024,petroleum,Fosil,211016.0,215656.0,1.0219888539257687,1021.9888539257687,12.259693977933098,12.281444461553813,Alta
GA,2024,coal,Fosil,35673760.0,36247550.0,1.0160843712577536,1016.0843712577537,17.389925990520844,17.405882378362083,Alta
MO,2024,coal,Fosil,77663246.0,78646304.0,1.0126579566349827,1012.6579566349827,18.167892691849595,18.180471206072518,Alta
UT,2024,coal,Fosil,31933168.0,32129184.0,1.0061383198810716,1006.1383198810717,17.27915580812195,17.28527536506849,Alta
KY,2024,coal,Fosil,44829322.0,45092840.0,1.0058782508466222,1005.8782508466222,17.61837301452306,17.624234055731087,Alta
DC,2024,petroleum,Fosil,35.0,35.0,1.0,1000.0,3.58351893845611,3.58351893845611,Alta
WI,2024,coal,Fosil,41526256.0,41283480.0,0.9941536747256965,994.1536747256965,17.54183648392661,17.535973002132685,Alta
